SA2_NAME21,mean_rainfall_value,Station_Na
Williamstown,581.6373291015625,Williamstown
Braybrook,586.0738932291666,
Footscray,600.309326171875,Footscray
Footscray,600.309326171875,Middle Footscray
Maribyrnong,599.8671177455357,
Seddon - Kingsville,595.3040161132812,Seddon
West Footscray - Tottenham,590.6622924804688,West Footscray
West Footscray - Tottenham,590.6622924804688,Tottenham
Yarraville,593.145703125,Yarraville
Bacchus Marsh,546.4387755102041,
Melton West,512.6683349609375,
Rockbank - Mount Cottrell,537.7199006782946,
Taylors Hill,565.0193359375,
Burnside,558.3328857421875,
Burnside Heights,563.30859375,
Caroline Springs,557.4867117745536,
Brookfield,497.968896484375,
Cobblebank - Strathtulloh,514.8045847039474,
Eynesbury - Exford,511.2792677238806,
Fraser Rise - Plumpton,542.5194986979167,
Hillside,563.0196533203125,
Kurunjang - Toolern Vale,585.1684170081967,
Melton,512.2583984375,
Melton South - Weir Views,506.0400390625,
Hoppers Crossing - North,535.5334284855769,Hoppers Crossing
Hoppers Crossing - South,534.022509765625,
Laverton,559.0569069602273,Williams Landing
Laverton,559.0569069602273,Laverton
Laverton,559.0569069602273,Aircraft
Werribee - South,533.4754217367257,Werribee
Point Cook - East,558.8970269097222,
Point Cook - South,548.5809326171875,
Werribee - East,529.6387803819445,
Werribee - West,519.9873511904761,
Manor Lakes - Quandong,522.9359809027778,
Point Cook - North East,549.1408342633929,
Point Cook - North West,544.6409912109375,
Tarneit (West) - Mount Cottrell,521.8886160714286,
Tarneit - Central,531.1702880859375,
Tarneit - North,534.6830444335938,
Tarneit - South,526.5850016276041,
Truganina - North,547.3156127929688,
Truganina - South East,547.2904052734375,
Truganina - South West,540.73876953125,
Wyndham Vale - North,521.4481670673077,
Wyndham Vale - South,521.3291015625,
Carrum Downs,742.25322265625,
Frankston,770.4579190340909,Frankston
Frankston,770.4579190340909,Leawarra
Frankston North,758.99755859375,
Frankston South,776.5920632102273,
Langwarrin,777.3748372395834,
Seaford (Vic.),728.7398587740385,Seaford
Seaford (Vic.),728.7398587740385,Kananook
Skye - Sandhurst,769.3401988636364,
Dromana,847.5845246010638,
Flinders,836.616945251938,
Hastings - Somers,794.7801724137931,Crib Point
Hastings - Somers,794.7801724137931,Hastings
Hastings - Somers,794.7801724137931,Stony Point
Hastings - Somers,794.7801724137931,Bittern
Hastings - Somers,794.7801724137931,Morradoo
Mount Eliza,770.5888671875,
Mount Martha,769.8680889423077,
Point Nepean,723.7779651988636,
Rosebud - McCrae,837.8614783653846,
Somerville,785.1252190420561,Somerville
Somerville,785.1252190420561,Tyabb
Somerville,785.1252190420561,Baxter
Mornington - East,760.1632952008929,
Mornington - West,740.7513020833334,
