School_Name,geometry,SA2_CODE21,SA2_NAME21
Warrandyte Primary School,POINT (342639.4366441355 5821232.980987355),211021262,Warrandyte - Wonga Park
Bacchus Marsh Primary School,POINT (274500.60634887766 5827385.747470294),213041353,Bacchus Marsh
Berwick Primary School,POINT (355604.1929909264 5788015.005416617),212021293,Berwick - North
Cheltenham Primary School,POINT (329120.8762100225 5795882.625059179),208011171,Highett (West) - Cheltenham
Newport Lakes Primary School,POINT (313305.2918322693 5809991.3859724),213021344,Newport
St Andrews Primary School,POINT (347273.07965195546 5836899.621197972),209031212,Panton Hill - St Andrews
Dromana Primary School,POINT (321683.2883415569 5754530.132749571),214021377,Dromana
Doncaster Primary School,POINT (335308.40389843506 5816192.167536473),207021157,Doncaster
Eltham Primary School,POINT (336769.1520257753 5823083.635519546),209031209,Eltham
Hallam Primary School,POINT (347076.0254035974 5792558.354247197),212021297,Hallam
Flemington Primary School,POINT (318054.8454496525 5816509.407126613),206031115,Flemington
Footscray Primary School,POINT (314466.1504949095 5814463.085295362),213031348,Footscray
Gisborne Primary School,POINT (286799.5874225657 5847940.952025522),210021232,Gisborne
Sandringham Primary School,POINT (325102.5169096949 5798192.333455164),208011173,Sandringham - Black Rock
Hawthorn West Primary School,POINT (325586.2165118497 5812293.988357161),207011519,Hawthorn - North
Heidelberg Primary School,POINT (329786.3382103604 5819643.280147349),209011198,Heidelberg - Rosanna
Romsey Primary School,POINT (300313.3613395588 5863451.5966012655),210021235,Romsey
Mount Macedon Primary School,POINT (286173.4780745001 5857482.155435006),210021233,Macedon
Melton Primary School,POINT (287214.81385923456 5826897.883993076),213041577,Melton
Fitzroy Primary School,POINT (322291.56908533437 5814500.398818856),206071142,Fitzroy
Burwood East Primary School,POINT (337418.24272691656 5808138.4020697465),207031166,Burwood East
New Gisborne Primary School,POINT (287440.07317274774 5851063.138507517),210021232,Gisborne
Essendon Primary School,POINT (316852.4530355688 5819543.592788471),206031502,Essendon - East
Coburg Primary School,POINT (320979.93771586154 5820944.297782826),206011497,Coburg - East
Mernda Primary School,POINT (331577.88350844744 5837452.4336008355),209041531,Mernda - North
Riddells Creek Primary School,POINT (294794.83908051223 5851433.076640014),210021234,Riddells Creek
South Yarra Primary School,POINT (322753.369170762 5809875.383494765),206041125,South Yarra - West
Thomastown Primary School,POINT (324655.47939545626 5827576.43182942),209041223,Thomastown
Werribee Primary School,POINT (294169.7714267609 5801933.345089647),213051368,Werribee - South
Wallan Primary School,POINT (320792.64985468675 5857557.052686131),209041224,Wallan
Lancefield Primary School,POINT (298422.29433915915 5872202.868605688),210021235,Romsey
Coimadai Primary School,POINT (277427.8144153273 5834043.911418784),213041353,Bacchus Marsh
Clayton North Primary School,POINT (334971.23824145546 5802293.764508808),212051567,Clayton (North) - Notting Hill
Preston South Primary School,POINT (324453.2379869908 5820289.622775886),209021428,Preston - East
Mordialloc Beach Primary School,POINT (332207.7412818916 5791842.37126368),208031193,Mordialloc - Parkdale
Healesville Primary School,POINT (369104.2681107764 5831190.281875376),211051276,Healesville - Yarra Glen
Lilydale Primary School,POINT (355004.6698977127 5820239.903715894),211051278,Lilydale - Coldstream
Darraweit Guim Primary School,POINT (313555.92002715997 5858556.360007435),210021235,Romsey
Camberwell Primary School,POINT (329107.14359320083 5810972.504038917),207011149,Camberwell
Greenvale Primary School,POINT (313497.4064242605 5832043.827053986),210051246,Greenvale - Bulla
Rockbank Primary School,POINT (293962.1919304996 5821329.311605974),213041359,Rockbank - Mount Cottrell
Doreen Primary School,POINT (336308.7902462499 5836280.676707275),209031212,Panton Hill - St Andrews
Yarra Glen Primary School,POINT (356419.9457389055 5831804.457872989),211051276,Healesville - Yarra Glen
Westmeadows Primary School,POINT (314426.68066125334 5828087.961928697),210051245,Gladstone Park - Westmeadows
Sunbury Primary School,POINT (299438.47054594883 5836393.87986417),210041540,Sunbury - South
Diamond Creek Primary School,POINT (336992.13639431144 5828985.704778714),209031215,Wattle Glen - Diamond Creek
Hesket Primary School,POINT (289169.76762544655 5863885.26247952),210021235,Romsey
Vermont Primary School,POINT (341108.30360100546 5810693.820936992),211041272,Vermont
Balwyn Primary School,POINT (331117.67422190227 5813094.4195326865),207011147,Balwyn
Scoresby Primary School,POINT (344149.23322114104 5804470.419937823),211011254,Knoxfield - Scoresby
Wandin Yallock Primary School,POINT (362286.0930709174 5816304.805651637),211051285,Wandin - Seville
Yering Primary School,POINT (357392.00042068807 5825644.6613618415),211051278,Lilydale - Coldstream
Mickleham Primary School,POINT (312456.0278559575 5840494.526585788),210051445,Mickleham - Yuroke
Bolinda Primary School,POINT (300526.1853738285 5854624.501142539),210021235,Romsey
Kew Primary School,POINT (326868.9902821143 5814149.505697342),207011522,Kew - West
Sorrento Primary School,POINT (302550.0466370137 5753880.269077845),214021383,Point Nepean
Hastings Primary School,POINT (341683.2274882782 5759381.207986965),214021379,Hastings - Somers
Moorabbin Primary School,POINT (327737.535635543 5798805.526386979),208031191,Moorabbin - Heatherton
Panton Hill Primary School,POINT (344682.64281913533 5832490.381589631),209031212,Panton Hill - St Andrews
Glen Iris Primary School,POINT (329861.0496054468 5807901.999004595),207011150,Glen Iris - East
Albert Park Primary School,POINT (319863.8610388213 5809753.686396522),206051128,Albert Park
Williamstown Primary School,POINT (315310.9080993922 5807218.932275247),213021346,Williamstown
Boneo Primary School,POINT (315526.8629939193 5746359.469999972),214021378,Flinders
Skye Primary School,POINT (342320.2160409165 5779596.555763405),214011376,Skye - Sandhurst
Upper Plenty Primary School,POINT (328151.80251670757 5856352.072520474),209041224,Wallan
Carlton North Primary School,POINT (321524.35515253956 5815431.882929523),206071140,Carlton North - Princes Hill
Woori Yallock Primary School,POINT (370782.0621744181 5817872.049890543),211051286,Yarra Valley
Wandong Primary School,POINT (325348.98755265947 5863332.7715236135),209041224,Wallan
Lower Plenty Primary School,POINT (333925.01501601376 5822894.769767815),209011202,Montmorency - Briar Hill
Clifton Hill Primary School,POINT (322955.6657890071 5815324.02943426),206071145,Clifton Hill - Alphington
Christmas Hills Primary School,POINT (350409.9326750556 5831273.962864472),209031212,Panton Hill - St Andrews
Mount Eliza Primary School,POINT (332937.4354987563 5770785.476148354),214021381,Mount Eliza
Northcote Primary School,POINT (323578.6848935634 5817618.788589131),206021500,Northcote - West
North Melbourne Primary School,POINT (319571.3594953056 5814537.77619862),206041506,North Melbourne
Dandenong Primary School,POINT (343673.1604531921 5794030.25445932),212041563,Dandenong - North
Williamstown North Primary School,POINT (314530.1249914154 5808078.421560291),213021346,Williamstown
Cairnlea Park Primary School,POINT (305145.8582042563 5818636.660732386),213011329,Cairnlea
Frankston Primary School,POINT (335618.3907793987 5776150.10083117),214011371,Frankston
Beveridge Primary School,POINT (321177.7389170489 5850838.060549498),209041224,Wallan
St Kilda Primary School,POINT (323121.5988213947 5806678.234512256),206051513,St Kilda - Central
Warburton Primary School,POINT (385633.3094040105 5820485.451361423),211051286,Yarra Valley
Fitzroy North Primary School,POINT (322489.1231052845 5816123.2924450915),206071143,Fitzroy North
Preston Primary School,POINT (324664.3674196369 5822216.884031139),209021525,Reservoir - South East
Tooradin Primary School,POINT (358033.5817615077 5769904.890783367),212031308,Pearcedale - Tooradin
Glenferrie Primary School,POINT (326967.7205806101 5811885.786102062),207011520,Hawthorn - South
Brighton Primary School,POINT (324282.33827181056 5802041.538045094),208011169,Brighton (Vic.)
Keilor Primary School,POINT (309240.56554844306 5823390.056325819),210011228,Keilor
Oakleigh Primary School,POINT (331938.01960155775 5804171.496463164),212051326,Oakleigh - Huntingdale
Malvern Central School,POINT (327080.2352163356 5808340.129855957),208041194,Malvern - Glen Iris
Macedon Primary School,POINT (284314.5438087074 5855890.82783825),210021233,Macedon
Arthurs Creek Primary School,POINT (341279.6440125287 5839375.485594932),209031212,Panton Hill - St Andrews
Rye Primary School,POINT (309898.73279882333 5750543.497892699),214021383,Point Nepean
Harkaway Primary School,POINT (354707.0878669871 5792798.6675078925),212021299,Narre Warren North
Balnarring Primary School,POINT (336028.4884062434 5750717.826605407),214021379,Hastings - Somers
Silvan Primary School,POINT (361062.2394898428 5812471.708568148),211051279,Monbulk - Silvan
Lysterfield Primary School,POINT (348470.4535716721 5802592.253841201),211011255,Lysterfield
Abbotsford Primary School,POINT (323837.1152472867 5813492.306536894),206071139,Abbotsford
Windsor Primary School,POINT (323677.5312571336 5808124.546262169),206061136,Prahran - Windsor
Narre Warren North Primary School,POINT (352181.9107597707 5795224.219682604),212021299,Narre Warren North
Footscray City Primary School,POINT (315153.58496228536 5813588.154533521),213031348,Footscray
Plenty Parklands Primary School,POINT (330397.93899781763 5829088.359377865),209041220,Mill Park - North
Little River Primary School,POINT (280417.83326722647 5795119.515822526),213051468,Werribee - West
Morang South Primary School,POINT (331923.73842688894 5830991.108030396),209041436,South Morang - South
Mornington Primary School,POINT (328699.4296654564 5767763.905082688),214021592,Mornington - West
