School_Name,geometry,SA2_CODE21,SA2_NAME21
Brighton Beach Primary School,POINT (323868.9970410535 5800934.689556311),208011169,Brighton (Vic.)
Yarrambat Primary School,POINT (335288.4103742865 5832349.781682396),209031213,Plenty - Yarrambat
Greensborough Primary School,POINT (332552.11339959514 5825375.7929787515),209011197,Greensborough
Cranbourne Primary School,POINT (349901.05161501863 5780389.352111177),212031300,Cranbourne
Whittlesea Primary School,POINT (333324.61651594634 5846404.697615081),209041225,Whittlesea
Kangaroo Ground Primary School,POINT (342591.57091597153 5826886.447916487),209031214,Research - North Warrandyte
Bayswater Primary School,POINT (346845.9626778471 5810143.432875833),211011251,Bayswater
Mulgrave Primary School,POINT (341583.4656214401 5800092.036506679),212051325,Mulgrave
Kinglake Primary School,POINT (354779.89189918 5845996.991817517),209031211,Kinglake
Bunyip Primary School,POINT (387111.41229860246 5782435.708880856),212011547,Bunyip - Garfield
Nar Nar Goon Primary School,POINT (374939.6157947235 5784041.396854784),212011547,Bunyip - Garfield
Montrose Primary School,POINT (354197.18991307355 5814184.232611342),211051280,Montrose
Moorooduc Primary School,POINT (334193.8677898977 5764960.656822527),214021385,Somerville
The Basin Primary School,POINT (351175.41783165035 5809533.714089163),211011449,The Basin
Kensington Primary School,POINT (317529.51184476016 5815165.529661588),206041121,Kensington (Vic.)
Ivanhoe Primary School,POINT (327627.2121834706 5818280.680130582),209011200,Ivanhoe
Menzies Creek Primary School,POINT (358858.5525671757 5802139.541115709),211051274,Belgrave - Selby
St Kilda Park Primary School,POINT (322104.6482163251 5807999.579236964),206051514,St Kilda - West
Diggers Rest Primary School,POINT (297836.4173445444 5833585.768330751),210041539,Diggers Rest
Gembrook Primary School,POINT (372195.7792340353 5798552.704734706),212011289,Emerald - Cockatoo
Hoddles Creek Primary School,POINT (376602.35369147407 5811927.248089818),211051286,Yarra Valley
Beaconsfield Upper Primary School,POINT (360807.1268620008 5793509.810911337),212011289,Emerald - Cockatoo
Malvern Primary School,POINT (327473.7833337295 5806618.799859002),208041194,Malvern - Glen Iris
Launching Place Primary School,POINT (374144.4367348449 5817354.783951579),211051286,Yarra Valley
Carlton Gardens Primary School,POINT (321240.88269774703 5814205.641102517),206041117,Carlton
Ascot Vale Primary School,POINT (317352.24771834514 5817198.830739157),206031113,Ascot Vale
Rosebud Primary School,POINT (317296.7960138172 5752642.151582197),214021384,Rosebud - McCrae
Koo Wee Rup Primary School,POINT (368024.36019631726 5771494.390115325),212011548,Koo Wee Rup
Armadale Primary School,POINT (325608.09622463287 5808733.073436433),206061135,Armadale
Osborne Primary School,POINT (328591.5194795808 5763842.559237991),214021382,Mount Martha
Somerville Primary School,POINT (340614.54536222364 5767761.686539695),214021385,Somerville
Fairfield Primary School,POINT (325665.0139327356 5816971.60088655),206021110,Alphington - Fairfield
Garfield Primary School,POINT (383734.70197338366 5783307.12698086),212011547,Bunyip - Garfield
Officer Primary School,POINT (360524.2495221136 5786525.596850049),212011546,Beaconsfield - Officer
Brunswick South Primary School,POINT (321451.45736104425 5816802.480460871),206011106,Brunswick East
Surrey Hills Primary School,POINT (332862.18596667505 5811843.459835425),207031167,Surrey Hills (East) - Mont Albert
Montague Continuing Education Centre,POINT (319569.7356428707 5810999.539468217),206051511,Port Melbourne Industrial
Middle Park Primary School,POINT (320295.3523861914 5809105.899995072),206051128,Albert Park
Seville Primary School,POINT (364762.32180498174 5818161.626713309),211051285,Wandin - Seville
Yarraville West Primary School,POINT (313866.24660027196 5812632.068027362),213031352,Yarraville
Merri-bek Primary School,POINT (320860.65750362276 5819415.217419065),206011497,Coburg - East
Elsternwick Primary School,POINT (323899.582331329 5804341.389660669),208011169,Brighton (Vic.)
Carnegie Primary School,POINT (328929.0306103792 5804523.3499087235),208021176,Carnegie
Lang Lang Primary School,POINT (374844.26654761634 5764017.344952838),212011548,Koo Wee Rup
Croydon Primary School,POINT (348675.9672314898 5815741.714420319),211031451,Croydon - West
Moonee Ponds West Primary School,POINT (315860.05436807574 5817761.783381686),206031116,Moonee Ponds
Mitcham Primary School,POINT (340908.3484829757 5813839.138507657),211041270,Mitcham (Vic.)
Blackburn Primary School,POINT (337753.895667417 5812936.089272225),207031161,Blackburn
Port Melbourne Primary School,POINT (318179.2771026554 5810444.871415991),206051130,Port Melbourne
Auburn Primary School,POINT (328412.19125507714 5812334.585932885),207011152,Hawthorn East
Mentone Primary School,POINT (330325.7861224202 5794315.761902434),208031190,Mentone
Princes Hill Primary School,POINT (321064.5070339211 5816605.349155879),206071140,Carlton North - Princes Hill
Research Primary School,POINT (339874.27776946075 5825593.209364029),209031214,Research - North Warrandyte
Pearcedale Primary School,POINT (345195.627116855 5770182.803009916),212031308,Pearcedale - Tooradin
St Albans Primary School,POINT (305777.84164421004 5820883.28173963),213011334,St Albans - North
Toorak Primary School,POINT (324899.7017311532 5809507.324401408),206061138,Toorak
Baxter Primary School,POINT (340772.42893832363 5770469.046755437),214021385,Somerville
Beaconsfield Primary School,POINT (357124.13335202413 5787537.843222708),212011546,Beaconsfield - Officer
Ormond Primary School,POINT (327135.289489934 5802680.617331102),208021182,Ormond - Glen Huntly
Crib Point Primary School,POINT (342782.70706552174 5752655.292863381),214021379,Hastings - Somers
Pascoe Vale Primary School,POINT (318227.9954855491 5822003.153536495),210031538,Pascoe Vale
Merri Creek Primary School,POINT (322755.22791945026 5817022.710605484),206071143,Fitzroy North
Sunshine Primary School,POINT (309017.28109013895 5815181.098365864),213011336,Sunshine
Tyabb Primary School,POINT (339600.96384089824 5763668.596364073),214021385,Somerville
Wales Street Primary School,POINT (324607.0494677501 5818778.657615216),206021112,Thornbury
Spensley Street Primary School,POINT (324230.87116716435 5815964.1725594755),206071145,Clifton Hill - Alphington
Kew East Primary School,POINT (328239.95099541475 5814974.208388406),207011154,Kew East
Brunswick East Primary School,POINT (322076.29656174034 5818306.965253794),206011106,Brunswick East
Yarra Junction Primary School,POINT (377248.19199201587 5817786.746332384),211051286,Yarra Valley
Sassafras Primary School,POINT (355257.8886229358 5808262.523962855),211051282,Mount Dandenong - Olinda
Ferny Creek Primary School,POINT (353559.0378533385 5805724.980951266),211051282,Mount Dandenong - Olinda
Toolangi Primary School,POINT (365043.7132679183 5844638.438694565),209031211,Kinglake
Wonga Park Primary School,POINT (347903.3817932294 5822668.184041994),211021262,Warrandyte - Wonga Park
Kinglake West Primary School,POINT (346121.36020572577 5850310.910386072),209031211,Kinglake
Monbulk Primary School,POINT (360187.5316824782 5806657.543330459),211051279,Monbulk - Silvan
Chum Creek Primary School,POINT (366649.6347207705 5836830.110995648),211051276,Healesville - Yarra Glen
Mount Dandenong Primary School,POINT (355868.11660542595 5811700.775150478),211051282,Mount Dandenong - Olinda
Badger Creek Primary School,POINT (370663.5474627865 5828527.93220747),211051276,Healesville - Yarra Glen
Middle Kinglake Primary School,POINT (351127.5742448169 5847748.181127185),209031211,Kinglake
Clarinda Primary School,POINT (333268.95366083493 5800587.469553422),212041309,Clarinda - Oakleigh South
Chelsea Heights Primary School,POINT (336619.646713461 5787553.543100747),208031187,Chelsea Heights
Tecoma Primary School,POINT (354499.9930766169 5803216.554691788),211051284,Upwey - Tecoma
Emerald Primary School,POINT (363121.7388275127 5800432.674191249),212011289,Emerald - Cockatoo
Carrum Primary School,POINT (335696.8139251942 5783860.482124658),208031185,Carrum - Patterson Lakes
Exford Primary School,POINT (284912.63011843234 5819639.046223562),213041573,Eynesbury - Exford
Mount Waverley Primary School,POINT (335029.36782878294 5805699.605475342),212051324,Mount Waverley - South
Murrumbeena Primary School,POINT (330317.662117951 5805059.531741241),208021181,Murrumbeena
Wesburn Primary School,POINT (380841.4399167316 5818987.047837682),211051286,Yarra Valley
Warranwood Primary School,POINT (345613.0515562971 5817773.845339975),211031265,Croydon Hills - Warranwood
Olinda Primary School,POINT (356268.43020028516 5809048.36158525),211051282,Mount Dandenong - Olinda
Langwarrin Primary School,POINT (341414.1233265338 5774841.024198508),214011374,Langwarrin
Cockatoo Primary School,POINT (367873.82967606164 5799845.904561621),212011289,Emerald - Cockatoo
Tyabb Railway Station Primary School,POINT (341866.2992103499 5763575.525804192),214021385,Somerville
Belgrave South Primary School,POINT (355690.30230865884 5800547.050300132),211051274,Belgrave - Selby
Yarra Me School,POINT (325374.3724836325 5821414.887522655),209021428,Preston - East
Sydenham - Hillside Primary School,POINT (302733.5948089733 5824885.86600126),213011339,Sydenham
Canterbury Primary School,POINT (331311.36921325186 5811208.988317186),207011155,Surrey Hills (West) - Canterbury
Brunswick North Primary School,POINT (319458.25685478724 5818852.829862418),206011495,Brunswick - North
Fawkner Primary School,POINT (321494.5429727588 5823848.546294252),210031237,Fawkner
Alphington Primary School,POINT (326700.47676948586 5816379.555794831),206071145,Clifton Hill - Alphington
The Austin School,POINT (328950.1956576274 5819543.817900197),209011198,Heidelberg - Rosanna
Banyan Fields Primary School,POINT (341101.5424384718 5782138.27549276),214011370,Carrum Downs
Norris Bank Primary School,POINT (327429.15319304436 5826276.057269588),209041217,Bundoora - West
Macclesfield Primary School,POINT (365937.5544378103 5805317.304969192),211051279,Monbulk - Silvan
Black Rock Primary School,POINT (326226.64126995835 5795681.74904568),208011173,Sandringham - Black Rock
Mount Evelyn Primary School,POINT (358137.3469900338 5816158.870012548),211051283,Mount Evelyn
Kilsyth Primary School,POINT (351654.19785383175 5814803.630998483),211051277,Kilsyth
Spotswood Primary School,POINT (313584.4425088342 5810882.594638683),213021344,Newport
Clyde Primary School,POINT (353320.9211445373 5778180.628563094),212031303,Cranbourne South
Noble Park Primary School,POINT (339603.5934784471 5795870.723332982),212041460,Noble Park - West
Deepdene Primary School,POINT (329342.4641044285 5813676.106364612),207011147,Balwyn
Cardinia Primary School,POINT (361881.48318292113 5776834.330006808),212011548,Koo Wee Rup
Glen Huntly Primary School,POINT (328208.8108191228 5804171.918330491),208021176,Carnegie
Wantirna Primary School,POINT (343102.88678894273 5808634.193084812),211011259,Wantirna
Melton South Primary School,POINT (286170.653091492 5823732.761223067),213041578,Melton South - Weir Views
Chelsea Primary School,POINT (335259.6367081929 5786430.486571553),208031186,Chelsea - Bonbeach
Hampton Primary School,POINT (324543.6893284013 5799695.773901926),208011172,Hampton
Victorian College For The Deaf,POINT (322482.28559256264 5808934.756836288),206041125,South Yarra - West
Edithvale Primary School,POINT (334400.90831654565 5788344.719645247),208031189,Edithvale - Aspendale
Penders Grove Primary School,POINT (325069.8152599534 5819564.4873231165),206021112,Thornbury
Caulfield Junior College,POINT (325988.4301618183 5806529.70724969),208021177,Caulfield - North
Seaford Primary School,POINT (336088.9448037031 5780946.519714091),214011375,Seaford (Vic.)
Wattle Park Primary School,POINT (332590.17173677415 5809938.538063231),207031165,Burwood (Vic.)
Preston West Primary School,POINT (323377.9984149498 5821432.312669249),209021429,Preston - West
Thornbury Primary School,POINT (323528.41909532575 5819430.59719104),206021112,Thornbury
Footscray West Primary School,POINT (312925.1854513802 5814817.885874406),213031351,West Footscray - Tottenham
Wandin North Primary School,POINT (359936.8930074425 5818537.1460835375),211051285,Wandin - Seville
Gardenvale Primary School,POINT (325490.95997415564 5802903.327618817),208011170,Brighton East
Beaumaris Primary School,POINT (327662.9374445628 5794002.486702),208011168,Beaumaris
Altona Primary School,POINT (308488.0379575626 5806628.437484252),213021341,Altona
Devon Meadows Primary School,POINT (351189.2232767305 5774843.968039),212031303,Cranbourne South
Upper Ferntree Gully Primary School,POINT (351786.9327280261 5804428.883816717),211011448,Ferntree Gully (South) - Upper Ferntree Gully
Bittern Primary School,POINT (340215.71556716604 5754893.971269604),214021379,Hastings - Somers
Hurstbridge Primary School,POINT (341014.061493799 5833054.517969906),209031210,Hurstbridge
Coburg West Primary School,POINT (319179.80728735006 5820255.552167587),206011498,Coburg - West
Elwood Primary School,POINT (323090.53429449943 5805425.278230226),206051129,Elwood
Mont Albert Primary School,POINT (332995.19624905277 5813228.234058484),207031167,Surrey Hills (East) - Mont Albert
Strathewen Primary School,POINT (347184.170919136 5842973.838058891),209031212,Panton Hill - St Andrews
Don Valley Primary School,POINT (375572.42941881664 5819851.377691006),211051286,Yarra Valley
Reservoir Primary School,POINT (324307.1843284616 5824332.98383957),209021526,Reservoir - South West
Gladysdale Primary School,POINT (381269.2693280028 5813271.1474455055),211051286,Yarra Valley
Moonee Ponds Primary School,POINT (317930.4251931218 5818430.636642306),206031116,Moonee Ponds
Kingsville Primary School,POINT (312916.2260466189 5812849.21021935),213031352,Yarraville
Kallista Primary School,POINT (356662.5369101118 5805682.123567801),211051282,Mount Dandenong - Olinda
Essendon North Primary School,POINT (315250.9661000834 5820793.47619139),206031501,Essendon (West) - Aberfeldie
Ascot Vale West Primary School,POINT (316046.81171581417 5816463.671442859),206031113,Ascot Vale
Hartwell Primary School,POINT (331467.3313011059 5809315.006428013),207011149,Camberwell
Wattle Glen Primary School,POINT (339666.01463275997 5829372.122110531),209031215,Wattle Glen - Diamond Creek
Hampton Park Primary School,POINT (346665.99076307076 5789370.399725274),212031562,Hampton Park - West
Ripponlea Primary School,POINT (324542.09790382994 5806221.364927044),208021177,Caulfield - North
Montmorency Primary School,POINT (334443.6675496911 5823850.971927962),209011202,Montmorency - Briar Hill
Ringwood North Primary School,POINT (344222.1324928908 5815663.052041929),211031268,Ringwood North
Lloyd Street Primary School,POINT (329028.24756326585 5806559.193969045),208041195,Malvern East
Bayswater North Primary School,POINT (350007.2489653959 5811811.23745022),211031263,Bayswater North
Westbreen Primary School,POINT (318034.5807638293 5823656.403765968),210031538,Pascoe Vale
Point Cook Prep - Year 9 College,POINT (299915.49531923054 5803526.923918757),213051581,Point Cook - North West
Footscray North Primary School,POINT (313620.5489605661 5815624.1582231615),213031348,Footscray
Camberwell South Primary School,POINT (329543.5117152141 5809291.954659773),207011150,Glen Iris - East
Parkdale Primary School,POINT (331677.14405477344 5793251.325707677),208031193,Mordialloc - Parkdale
Hughesdale Primary School,POINT (330998.5045936068 5802889.969012607),208021180,Hughesdale
Westgarth Primary School,POINT (324354.3874589653 5817112.488188768),206021499,Northcote - East
Auburn South Primary School,POINT (328052.23343508464 5810220.027360097),207011152,Hawthorn East
Aspendale Primary School,POINT (333202.48557449505 5790231.960665703),208031189,Edithvale - Aspendale
Eltham North Primary School,POINT (336985.23080839694 5825848.593230744),209031209,Eltham
Dandenong West Primary School,POINT (341954.00334807794 5794794.214612755),212041563,Dandenong - North
Yarra Road Primary School,POINT (347820.6701299107 5818697.373543759),211031265,Croydon Hills - Warranwood
Aberfeldie Primary School,POINT (314546.38292437675 5819115.649766341),206031501,Essendon (West) - Aberfeldie
Dingley Primary School,POINT (335992.64278068184 5794470.295499246),212041313,Dingley Village
Albion Primary School,POINT (307992.8028726721 5816568.431409719),213011328,Ardeer - Albion
Nepean Special School,POINT (337159.5430971463 5779303.933618884),214011375,Seaford (Vic.)
Brunswick South West Primary School,POINT (318875.7137452373 5817647.695667188),206011107,Brunswick West
Bell Primary School,POINT (322969.0494277601 5820276.750824396),209021429,Preston - West
Chatham Primary School,POINT (332025.76128172525 5812701.171448005),207011155,Surrey Hills (West) - Canterbury
Caulfield South Primary School,POINT (326855.41733311885 5803979.146561109),208021178,Caulfield - South
Ashburton Primary School,POINT (331424.7795470817 5807743.319276806),207011146,Ashburton (Vic.)
Bentleigh West Primary School,POINT (326560.56099013786 5801159.760871774),208021174,Bentleigh - McKinnon
Briar Hill Primary School,POINT (333948.59667269606 5824877.827757759),209011202,Montmorency - Briar Hill
McKinnon Primary School,POINT (328819.64768567926 5802599.407408602),208021182,Ormond - Glen Huntly
Clayton South Primary School,POINT (334487.54949556413 5799115.760569654),212041310,Clayton South
Ivanhoe East Primary School,POINT (329096.48588189 5817420.983968534),209011201,Ivanhoe East - Eaglemont
Brunswick North West Primary School,POINT (318848.0358487901 5819186.924740062),206011107,Brunswick West
Fleetwood Primary School,POINT (352407.3601647109 5788489.473831847),212021456,Narre Warren - South West
Sandringham East Primary School,POINT (326245.5974590612 5797147.585553649),208011173,Sandringham - Black Rock
Seaholme Primary School,POINT (309989.49898312596 5807051.940595217),213021341,Altona
Somers Primary School,POINT (339713.1381702289 5749082.303971414),214021379,Hastings - Somers
Travancore School,POINT (318141.5296341049 5816374.767617318),206031115,Flemington
Upwey Primary School,POINT (353426.3203476633 5803651.403452051),211051284,Upwey - Tecoma
Coburg North Primary School,POINT (319525.8508794791 5821482.11759928),206011498,Coburg - West
Rosanna Primary School,POINT (329310.27769666276 5821777.05301672),209011198,Heidelberg - Rosanna
Wantirna South Primary School,POINT (344969.58897866716 5806863.6459780745),211011260,Wantirna South
Strathmore Primary School,POINT (316453.0491615469 5821487.562334879),210011231,Strathmore
Balwyn North Primary School,POINT (330696.24815213337 5814999.584676754),207011148,Balwyn North
Solway Primary School,POINT (330500.84664263634 5806498.714747481),207011146,Ashburton (Vic.)
Newlands Primary School,POINT (322466.20483095077 5822218.705899512),209021429,Preston - West
Somers School Camp,POINT (338058.4872376071 5749420.003999225),214021379,Hastings - Somers
Tootgarook Primary School,POINT (312816.0779545851 5751015.962867829),214021383,Point Nepean
Newport Gardens Primary School,POINT (312485.5682531789 5809218.8489324115),213021344,Newport
Malvern Valley Primary School,POINT (331279.6095969989 5805686.614308787),208041195,Malvern East
Belmore School,POINT (331074.5313213426 5814165.898556887),207011147,Balwyn
Croxton Special School,POINT (322725.13114019413 5818461.945570873),206021500,Northcote - West
Frankston East Primary School,POINT (337500.41963590274 5776291.201347473),214011372,Frankston North
Selby Primary School,POINT (356495.60459798586 5802755.588424227),211051274,Belgrave - Selby
Reservoir East Primary School,POINT (325655.7302167212 5823411.31015804),209021525,Reservoir - South East
Tucker Road Bentleigh Primary School,POINT (328543.32487400307 5799874.871711681),208021427,Bentleigh East - South
Greythorn Primary School,POINT (332372.8762957299 5814508.837089557),207011148,Balwyn North
Eastwood Primary School,POINT (346227.8262676076 5813024.561266683),211031267,Ringwood East
Pascoe Vale South Primary School,POINT (318118.9582410796 5820390.968705684),206011109,Pascoe Vale South
Lalor Primary School,POINT (325851.9105678754 5828954.974888641),209041529,Lalor - East
Reservoir West Primary School,POINT (322874.65487666044 5823112.280630313),209021526,Reservoir - South West
Coatesville Primary School,POINT (330678.5955373586 5801302.5362978615),208021426,Bentleigh East - North
Old Orchard Primary School,POINT (337365.3135562074 5813927.469899532),207031161,Blackburn
Huntingdale Primary School,POINT (333188.28010966163 5802131.108439397),212051326,Oakleigh - Huntingdale
Box Hill North Primary School,POINT (334779.49631441967 5814628.567750505),207031164,Box Hill North
Ferntree Gully North Primary School,POINT (350434.659006518 5806714.216231588),211011447,Ferntree Gully - North
Oak Park Primary School,POINT (316230.93368348887 5823700.806745086),210031537,Oak Park
Dandenong North Primary School,POINT (343179.29878138466 5795272.937428727),212041563,Dandenong - North
Harrisfield Primary School,POINT (340094.65634967934 5797677.553102411),212041459,Noble Park - East
