Facility Name,geometry,SA2_CODE21,SA2_NAME21
Alexander Rd Reserve,POINT (341503.7438948691 5795875.250310455),212041563,Dandenong - North
Coomoora Rd Reserve,POINT (337505.44730340305 5794379.622055414),212041565,Keysborough - North
Endeavour Hills Recreation Reserve,POINT (345116.75205901626 5797770.500953145),212021453,Endeavour Hills - North
Keysborough Community Park,POINT (338313.2833041293 5793756.45189839),212041565,Keysborough - North
Parkfield Reserve,POINT (340265.81967883697 5796838.795005351),212041459,Noble Park - East
WJ Pav Turner Reserve,POINT (341220.14729996835 5798466.416517986),212041316,Noble Park North
Springvale Indoor Sports,POINT (337277.03674098995 5795326.987333226),212041318,Springvale South
Dandenong Croquet & Bowls Club,POINT (343371.4932941207 5793593.553544078),212041563,Dandenong - North
Dingley Club Grounds,POINT (338300.37784394016 5784995.829722956),214011370,Carrum Downs
Alphonsa Fitness Centre & Jym,POINT (337634.5246027496 5798199.355056139),212041317,Springvale
Dandenong Oasis,POINT (343456.550439218 5795863.471682584),212041563,Dandenong - North
Dandenong Squash & Leisure,POINT (342500.30344696494 5794203.327105121),212041563,Dandenong - North
Doherty's 24 Hour Gym Dandenong,POINT (342242.60785452375 5793853.459379642),212041564,Dandenong - South
Noble Park Aquatic Centre,POINT (339602.95665963646 5796525.990973275),212041459,Noble Park - East
Sandown Indoor Tennis & Sports Centre,POINT (339083.08508310537 5799039.547111263),212041317,Springvale
Gaelic Park,POINT (340304.77998261945 5789377.371800674),212041566,Keysborough - South
Eastern Sward Golf Club,POINT (340341.2726546103 5785196.150772684),212041564,Dandenong - South
Keysborough Golf Course,POINT (337537.3110234841 5791386.314335461),212041566,Keysborough - South
JC Mills Reserve,POINT (343520.9166454536 5795774.012343146),212041563,Dandenong - North
Burden Park,POINT (337678.7697151248 5796665.087783177),212041318,Springvale South
Dandenong Bowls Club,POINT (344115.4247968456 5795992.725286533),212041312,Dandenong North
Dandenong Recreation Club,POINT (343607.94066248345 5794651.747711779),212041563,Dandenong - North
Willow Lodge Bowls Club,POINT (342505.6686590724 5787970.5037227),212041564,Dandenong - South
Sandown Raceway,POINT (338853.1475123805 5798095.5621530395),212041317,Springvale
Sporting Shooters Association of Victoria,POINT (339231.07863490994 5798854.075072179),212041317,Springvale
Springvale Pistol Club,POINT (337488.74137466913 5800437.730924081),212051325,Mulgrave
Carrum United Soccer Club,POINT (342952.4280296409 5786357.301604563),212041564,Dandenong - South
Frank Holohan Soccer Complex,POINT (345601.9542815368 5797168.041539366),212021453,Endeavour Hills - North
George Andrews Reserve,POINT (342987.52234490815 5792472.680710648),212041564,Dandenong - South
Glendale Reserve,POINT (337173.0310221814 5799295.171215066),212041317,Springvale
Norman Luth Reserve,POINT (336620.16425395384 5797615.680086797),212041317,Springvale
Parkmore Soccer Club,POINT (338595.70626554114 5791597.464163286),212041566,Keysborough - South
Spring Valley Park,POINT (337187.0847386656 5796000.691039591),212041318,Springvale South
Dandenong Softball Park,POINT (345141.70380768145 5797399.554162779),212021453,Endeavour Hills - North
The Grenda Aquatic Centre (Haileybury College Pool),POINT (337144.07408687146 5793158.200050025),212041566,Keysborough - South
Exhibition Hall,POINT (343433.4030053414 5795929.631728644),212041563,Dandenong - North
Springvale South Tennis Club,POINT (337480.61619167146 5795566.821205802),212041318,Springvale South
Noble Park Uniting Tennis Club,POINT (339512.47713148594 5796340.275755219),212041460,Noble Park - West
Rosewood Tennis Club,POINT (343530.51686049683 5798699.845763602),212041312,Dandenong North
Springvale Tennis Club,POINT (338112.1802092412 5798879.865500241),212041317,Springvale
National Water Sports Centre,POINT (337610.8024662462 5786310.144706919),212041564,Dandenong - South
CH Sullivan Reserve,POINT (327058.51863612817 5822209.153398272),209021525,Reservoir - South East
Athletique Health Club Preston,POINT (325628.48519421526 5819592.425197674),209021428,Preston - East
Fernwood Women's Health Club Preston,POINT (326434.7783529579 5820087.581285311),209021428,Preston - East
Genesis Fitness Club Preston,POINT (325600.96630387474 5820413.899990246),209021428,Preston - East
Northcote Aquatic & Recreation Centre,POINT (324955.2036411664 5817952.231943338),206021499,Northcote - East
Reservoir Leisure Centre,POINT (325337.2485397701 5823776.246726997),209021523,Reservoir - North East
The Fitness Club,POINT (324730.9984832067 5826096.563331612),209021523,Reservoir - North East
Edwardes Lake Park,POINT (323157.135959131 5823974.710429087),209021526,Reservoir - South West
A H Capp Reserve,POINT (322261.46565167664 5820055.476288176),209021429,Preston - West
Bill Lawry Park (Northcote Park),POINT (324298.6683667527 5816395.472126551),206021499,Northcote - East
Crispe Park,POINT (323512.88909517904 5823138.1705672275),209021526,Reservoir - South West
J C Donath Reserve,POINT (324971.3133406332 5825645.951341923),209021523,Reservoir - North East
J E Moore Reserve,POINT (323182.2324565415 5823688.3856341345),209021526,Reservoir - South West
John Hall Reserve,POINT (326041.94549741485 5824228.190199206),209021205,Kingsbury
McDonnell Park,POINT (325216.61531990254 5817909.159412833),206021499,Northcote - East
Pitcher Park,POINT (326355.78261823964 5817470.884405797),206021110,Alphington - Fairfield
Preston City Oval,POINT (323873.37204200437 5820995.630148068),209021428,Preston - East
Sir Doug Nicholls Reserve,POINT (323491.6923298632 5819729.663369337),206021112,Thornbury
T W Blake Reserve,POINT (326007.0700464862 5821015.626843849),209021428,Preston - East
W H Robinson Reserve,POINT (322213.27493701875 5820225.846138047),209021429,Preston - West
WR Ruthven Reserve,POINT (325832.60502741724 5821917.256760005),209021428,Preston - East
Darebin Community Sports Stadium,POINT (326406.1927821973 5823271.605580647),209021525,Reservoir - South East
Merri Park Baseball,POINT (322932.2462994964 5817502.557493173),206021500,Northcote - West
Judith Scott Memorial Reserve,POINT (326761.6432225723 5823544.8404489495),209021205,Kingsbury
Keon Park Youth Club & Community Hall,POINT (325467.27893566876 5825505.139754215),209021523,Reservoir - North East
Northcote Indoor Sports,POINT (326247.064235251 5819036.547688222),206021112,Thornbury
All Nations Park,POINT (324084.91338784137 5818140.2885629255),206021499,Northcote - East
Northside Boxing Gym,POINT (324483.10588842095 5821163.943063689),209021428,Preston - East
Darebin International Sports Centre,POINT (325879.31339331344 5818455.064380295),206021112,Thornbury
Bundoora Park Oval,POINT (328106.7514260472 5824922.424249744),209021205,Kingsbury
C T Barling Reserve,POINT (326619.0589588765 5823116.445924458),209021525,Reservoir - South East
H L T Oulten Reserve,POINT (325573.56724411674 5820225.70697378),209021428,Preston - East
H P Zwar Reserve,POINT (323433.8516377378 5820977.347347226),209021429,Preston - West
Hayes Park,POINT (325393.81929250015 5819281.94546718),206021112,Thornbury
I W Dole Reserve,POINT (325420.2213405934 5825436.315946825),209021523,Reservoir - North East
L E Cotchin Reserve,POINT (322677.85283440084 5825878.215002701),209021524,Reservoir - North West
Mayer Park,POINT (322664.10018858186 5819045.354630237),206021500,Northcote - West
TW Andrews Park,POINT (325257.3907022305 5823811.856452827),209021523,Reservoir - North East
Bundoora Park Golf Course,POINT (326977.0969098405 5825070.7802277515),209021205,Kingsbury
Northcote Golf Course,POINT (322438.8254388948 5819053.158583596),206021500,Northcote - West
Strathallan Golf Course,POINT (328873.8732285033 5824433.820591403),209021205,Kingsbury
KP Hardiman Reserve,POINT (326488.4564240563 5823276.222425228),209021205,Kingsbury
Puckhanders Indoor Stadium,POINT (327068.0342718306 5822007.643586973),209021525,Reservoir - South East
Darebin City Bowls Club,POINT (325847.3473288964 5818374.680633286),206021112,Thornbury
Fairfield Bowling Club,POINT (325449.9676230953 5817318.849396406),206021110,Alphington - Fairfield
John Cain Memorial Park,POINT (325947.4964183923 5818627.46661638),206021112,Thornbury
Kingsbury Bowls Club,POINT (325791.2413743031 5823892.8604955645),209021205,Kingsbury
Preston - Reservoir Bowls Club,POINT (323172.97720026283 5824256.13957308),209021526,Reservoir - South West
Thornbury Bowls Club,POINT (323697.2819242488 5819048.322427897),206021112,Thornbury
Lakeview Tennis Club,POINT (322985.96063960745 5824241.806022061),209021526,Reservoir - South West
B T Connors Reserve,POINT (322092.0383818227 5824961.281945769),209021524,Reservoir - North West
DR Atkinson Reserve,POINT (326052.3522224209 5825328.877118127),209021523,Reservoir - North East
G H Mott Reserve,POINT (324666.98013357184 5820721.688876757),209021428,Preston - East
AMF Keon Park,POINT (324950.41866502736 5826244.646526313),209041223,Thomastown
Dunstan Park Tennis,POINT (322602.01879738603 5822106.727066706),209021429,Preston - West
GE Robinson Park,POINT (324229.1712295084 5822787.115506796),209021526,Reservoir - South West
St Josephs Tennis Courts,POINT (323539.0873564343 5817385.80608332),206021500,Northcote - West
T.A Cochrane Reserve,POINT (324565.4776291355 5820230.510488266),209021428,Preston - East
Thornbury Church of Christ Tennis Club,POINT (323581.82607089024 5818587.134729268),206021500,Northcote - West
Peninsula Indoor Sports,POINT (337305.0726384968 5779350.474042568),214011375,Seaford (Vic.)
Samuel Sherlock Reserve,POINT (335972.3725724922 5776429.128601047),214011371,Frankston
Saxon Sports Frankston,POINT (335933.6773340963 5777772.8394177295),214011371,Frankston
Baxter Park,POINT (337345.1717563969 5771098.20277044),214011373,Frankston South
Ballam Park,POINT (338766.42784701765 5775942.310335801),214011372,Frankston North
Banyan Reserve,POINT (340698.6357816027 5782208.441004317),214011370,Carrum Downs
Riviera Reserve,POINT (336185.2580586304 5782877.8659124635),214011375,Seaford (Vic.)
Baden Powell Reserve,POINT (334317.30461919925 5773395.684146068),214011373,Frankston South
Belvedere Reserve,POINT (338426.3905312484 5780875.37125187),214011375,Seaford (Vic.)
Bruce Park,POINT (336963.96049225953 5774584.276756393),214011371,Frankston
Carrum Downs Recreation Reserve,POINT (341122.33983849146 5783118.117541613),214011370,Carrum Downs
East Seaford Reserve (Norm Cathie Oval),POINT (337092.14429067087 5780571.90385643),214011375,Seaford (Vic.)
Eric Bell Reserve,POINT (337606.7964561571 5778712.075999614),214011372,Frankston North
Frankston Park,POINT (335245.88904540555 5776106.809228696),214011371,Frankston
Jubilee Park,POINT (337382.3135853199 5775713.900669812),214011371,Frankston
Kananook Reserve,POINT (336281.878928681 5779175.078542282),214011375,Seaford (Vic.)
Lloyd Park,POINT (341462.64134230884 5776136.575906221),214011374,Langwarrin
Overport Park,POINT (335488.9357218116 5772207.558949236),214011373,Frankston South
Pat Rollo Reserve,POINT (338690.6104270347 5779755.289099324),214011372,Frankston North
Seaford Reserve,POINT (335917.14534277713 5780400.645622007),214011375,Seaford (Vic.)
Frankston South Recreation Centre,POINT (335936.0484914556 5774646.614013791),214011373,Frankston South
Botany Park Recreation Reserve,POINT (339963.47460444097 5780463.479762294),214011370,Carrum Downs
Robinsons Park,POINT (338792.79040045594 5773223.692239049),214011371,Frankston
Frankston Basketball Stadium,POINT (336416.2197184693 5779210.752720554),214011375,Seaford (Vic.)
Langwarren Basketball Stadium (Elizabeth Murdoch college),POINT (341486.599481264 5775030.158002149),214011374,Langwarrin
Frankston Indoor Sports ,POINT (337072.4618924814 5779522.550209907),214011375,Seaford (Vic.)
Frankston Motocycle & BMX Club,POINT (337566.21191700664 5782406.310169883),214011375,Seaford (Vic.)
Delacombe Park Reserve,POINT (335880.44304767286 5774561.563411175),214011373,Frankston South
Frank Street Reserve,POINT (337375.712731838 5776959.225934556),214011372,Frankston North
Seaford North Reserve,POINT (336023.2402944836 5781247.041208801),214011375,Seaford (Vic.)
Skye Recreation Reserve,POINT (343923.5429812104 5779422.669007168),214011376,Skye - Sandhurst
Worland Park Reserve,POINT (338744.0096982692 5776515.3548094835),214011372,Frankston North
Frankston Croquet Club,POINT (335593.7958582875 5775840.538634485),214011371,Frankston
Langwarrin Club Grounds,POINT (342095.01398050133 5774740.283794225),214011374,Langwarrin
Beach House Health & Fitness Frankston,POINT (335327.187176502 5776793.195900659),214011371,Frankston
Beachside Fitness Centre Seaford,POINT (337177.6961929201 5781355.144385004),214011375,Seaford (Vic.)
Contours Langwarrin,POINT (339973.52856091294 5776370.590853592),214011374,Langwarrin
Core Health Club,POINT (336836.41622778925 5774349.362933724),214011371,Frankston
Curves Frankston,POINT (335608.0830034727 5776234.9294076655),214011371,Frankston
Deeki Body Tone,POINT (337192.9476484085 5772156.889062718),214011373,Frankston South
Energym Health & Fitness,POINT (336088.174534712 5778168.834048717),214011375,Seaford (Vic.)
Goodlife Karingal,POINT (339350.86717393075 5775814.345889868),214011372,Frankston North
Monash University,POINT (336747.02246843954 5775631.1092395205),214011371,Frankston
Snap Fitness Frankston,POINT (335674.62025643454 5776920.124067486),214011371,Frankston
Centenary Park Golf Course,POINT (340131.5230179428 5777907.430643814),214011372,Frankston North
Frankston Golf Course,POINT (337756.56968345237 5773672.411951639),214011371,Frankston
Long Island Country Club ,POINT (336768.08581632364 5778410.645357669),214011372,Frankston North
Peninsula Country Golf Club,POINT (338511.19646421424 5777996.186275532),214011372,Frankston North
Sandhurst Club,POINT (343068.0853028515 5783920.802761537),214011376,Skye - Sandhurst
Skye Public Golf Course,POINT (343132.36525943957 5779689.521045332),214011376,Skye - Sandhurst
Baxter Village Bowls Club ,POINT (338057.49751274474 5772948.951871971),214011373,Frankston South
Carrum Bowling Club ,POINT (335480.14344886877 5783044.490627673),214011375,Seaford (Vic.)
Frankston Bowling Club,POINT (335704.19831614743 5775704.55896323),214011371,Frankston
Frankston RSL Bowling Club ,POINT (337741.751435314 5775822.442651934),214011371,Frankston
Karingal Bowling Club ,POINT (338448.46415026684 5777327.423458914),214011372,Frankston North
Seaford Bowls Club ,POINT (338360.1355173524 5780775.255028462),214011375,Seaford (Vic.)
Yamala Park,POINT (333935.914231076 5774110.384458904),214011373,Frankston South
Frankston Yacht Club,POINT (335022.08924600785 5776365.04036913),214011371,Frankston
Frankston Clay Target Club ,POINT (339112.95724577736 5783680.565535708),214011370,Carrum Downs
Sandfield Reserve,POINT (341285.11429746175 5780876.459136548),214011370,Carrum Downs
Centenary Park,POINT (340142.0272350995 5777154.871293189),214011372,Frankston North
Lawton Reserve,POINT (340518.87512274215 5772226.489947268),214011374,Langwarrin
Monterey Reserve,POINT (337961.78186727595 5779152.216540959),214011372,Frankston North
Frankston Life Saving Club,POINT (335139.37279929384 5776690.140816206),214011371,Frankston
Seaford Life Saving Club,POINT (335588.4680350814 5781065.532375685),214011375,Seaford (Vic.)
Frankston Regional Aquatic Health & Wellbeing Centre,POINT (337575.179964155 5775573.108842819),214011371,Frankston
Peninsular Aquatic Recreation Centre,POINT (335960.55605929217 5776441.212640953),214011371,Frankston
Pines Forest,POINT (337922.46052947233 5778845.81602384),214011372,Frankston North
Belvedere Park Tennis Club,POINT (337935.5628306002 5780767.809113689),214011375,Seaford (Vic.)
Crystal park,POINT (336191.6466661586 5781810.382757653),214011375,Seaford (Vic.)
Frankston East Tennis Club,POINT (340183.9151491738 5777802.55632074),214011372,Frankston North
Frankston Tennis Club,POINT (335828.2607287492 5775872.811602319),214011371,Frankston
Kananook Tennis Club,POINT (335831.34109477606 5779332.517313922),214011375,Seaford (Vic.)
Karingal Tennis Club/ DELETE,POINT (338940.84367341246 5776620.72356746),214011372,Frankston North
Long Island Tennis Club,POINT (335544.1537738666 5778172.834964163),214011375,Seaford (Vic.)
Granite Road Circuit,POINT (280245.9862738158 5795592.33508983),213051468,Werribee - West
Kirksbridge Circuit,POINT (280245.9862738158 5795592.33508983),213051468,Werribee - West
Duncan Mackinnon Reserve,POINT (329791.33853386267 5802924.2688339865),208021181,Murrumbeena
"Bentleigh  Hodgson Recreation Reserve,",POINT (327976.28489174345 5801171.963221395),208021174,Bentleigh - McKinnon
East Caulfield Reserve,POINT (328222.19048790226 5805797.230576867),208021177,Caulfield - North
EE Gunn Reserve,POINT (327560.4216722724 5803632.872007577),208021182,Ormond - Glen Huntly
Glen Huntly Park,POINT (327614.38071762887 5805049.894590992),208021177,Caulfield - North
King George VI Memorial Park,POINT (329474.4053708175 5800254.558434814),208021427,Bentleigh East - South
Koornang Park  ,POINT (328905.5540788799 5804042.057460877),208021176,Carnegie
Mackie Road Reserve,POINT (330919.17122294987 5801581.153243011),208021426,Bentleigh East - North
McKinnon Reserve,POINT (328673.9250679894 5801832.691452563),208021174,Bentleigh - McKinnon
Moorleigh Community Village,POINT (330599.05720443855 5799744.258098828),208021427,Bentleigh East - South
"Murrumbeena Park,",POINT (330489.07666542206 5803832.719007224),208021181,Murrumbeena
Packer Park,POINT (329389.68463660125 5803348.095401782),208021176,Carnegie
Princes Park,POINT (326370.54765267024 5804093.341631629),208021178,Caulfield - South
Glen Eira Sports and Aquatic Centre,POINT (329619.9651951544 5801635.387067521),208021426,Bentleigh East - North
Carnegie Swim Centre,POINT (328641.67314091325 5804035.991431018),208021176,Carnegie
Bailey Reserve ,POINT (329619.9651951544 5801635.387067521),208021426,Bentleigh East - North
Caulfield Park,POINT (326708.8581236516 5806569.265870544),208021177,Caulfield - North
Lord Reserve,POINT (328527.0027472832 5804088.4351670435),208021176,Carnegie
Victory Park ,POINT (326965.73117865645 5800742.915333469),208021174,Bentleigh - McKinnon
Elsternwick Croquet Club,POINT (325071.191824009 5804787.777575498),208021179,Elsternwick
Navel Gazers Belly Dance,POINT (326304.3102338497 5806440.482298545),208021177,Caulfield - North
6 Degrees South Health & Fitness,POINT (323917.5091162479 5805194.7253334),208021179,Elsternwick
Australian Fitness Academy,POINT (325782.3250613895 5804988.53504875),208021178,Caulfield - South
Bentleigh Fitness Centre,POINT (329756.65771605494 5802472.3880546475),208021426,Bentleigh East - North
Caulfield Recreation Centre,POINT (326044.47456939885 5804132.279726215),208021178,Caulfield - South
CrossFit Carnegie,POINT (329077.9010651888 5804687.424662473),208021176,Carnegie
EFM Health & Fitness Club,POINT (325477.9552177279 5805233.738632969),208021178,Caulfield - South
Gecko Kids Fitness Caulfield,POINT (326024.24488646525 5804194.2417327445),208021178,Caulfield - South
Genesis Caulfield,POINT (326203.3919870466 5805833.086552787),208021177,Caulfield - North
Sage Institute of Fitness,POINT (324039.3927896408 5805181.576531908),208021179,Elsternwick
Schwartz's CrossFit Melbourne,POINT (326603.890074591 5804795.01576099),208021178,Caulfield - South
Yarra Yarra Golf Club ,POINT (330869.014374297 5800058.012911303),208021427,Bentleigh East - South
The Bentleigh Club,POINT (326588.53726017894 5801994.419997656),208021174,Bentleigh - McKinnon
Alma Bowls &Tennis Club,POINT (325314.6898731097 5807575.487643887),208021177,Caulfield - North
Armadale Bowls Club/Tennis Courts,POINT (326209.4574982339 5804110.244649413),208021178,Caulfield - South
Bentleigh Bowling Club,POINT (327976.28489174345 5801171.963221395),208021174,Bentleigh - McKinnon
Coatesville Bowling Club,POINT (330788.41469818365 5801550.478137762),208021426,Bentleigh East - North
Elsternwick Bowls Club,POINT (324495.49517639587 5805466.893934291),208021179,Elsternwick
Glen Eira McKinnon Bowls Club,POINT (328184.51846650266 5802598.660659679),208021182,Ormond - Glen Huntly
Murrumbeena Bowls Club,POINT (329950.5365670022 5804935.141975437),208021176,Carnegie
Murrumbeena Park Bowls Club,POINT (330489.07666542206 5803832.719007224),208021181,Murrumbeena
South Oakleigh Club,POINT (331042.9092655964 5800059.382667938),208021427,Bentleigh East - South
Southern Indoor Bowls Club,POINT (326065.54160619655 5804764.964724535),208021178,Caulfield - South
Caulfield Taekwondo,POINT (326012.7423635661 5804197.328152778),208021178,Caulfield - South
Caulfield Recreation Tennis Club,POINT (329715.3921725603 5803171.584325523),208021181,Murrumbeena
Koornang Park Tennis Courts,POINT (328641.67314091325 5804035.991431018),208021176,Carnegie
Lauriston Lawn Tennis Club,POINT (329222.92294913466 5803663.788414764),208021176,Carnegie
Murrumbeena Tennis Club,POINT (330337.2515565953 5804355.114897326),208021181,Murrumbeena
St Kevin's Tennis Club,POINT (327586.874804294 5802847.883321302),208021182,Ormond - Glen Huntly
St Pauls (Bentleigh) Tennis Club,POINT (327888.8169275795 5800868.94051391),208021174,Bentleigh - McKinnon
Temple Society Australia - Tennis Court,POINT (328743.4834671101 5801349.34384532),208021426,Bentleigh East - North
Loft Reserve,POINT (312395.08539235697 5809487.575475113),213021344,Newport
Westside Indoor Sports,POINT (308618.973662277 5810479.10731636),213021343,Altona North
G.K Nevitt Athletics Facility,POINT (308768.2215795014 5807522.875371753),213021341,Altona
Newport Park Reserve,POINT (314804.0425381122 5809262.351558004),213021344,Newport
A.B Shaw Reserve,POINT (304899.2491333196 5806855.568295989),213021342,Altona Meadows
Altona Green Park,POINT (304963.592732816 5804330.9833763875),213021342,Altona Meadows
Bayside College Williamstown,POINT (313938.6220629633 5807699.431552797),213021346,Williamstown
Bruce Comben Reserve,POINT (303573.43966405455 5806012.616465088),213021342,Altona Meadows
Croft Reserve,POINT (309321.85496768873 5811113.211378155),213021343,Altona North
Donald McLean Reserve,POINT (313767.04928236385 5811311.293777881),213021344,Newport
Fearon Reserve,POINT (314845.39478847536 5806827.962518837),213021346,Williamstown
J.K Grant Reserve,POINT (308810.8720796665 5807256.398738309),213021341,Altona
Newport Football Ground,POINT (313531.33558331104 5809241.992529064),213021344,Newport
Williamstown Cricket Ground,POINT (315609.2855649539 5806388.741550704),213021346,Williamstown
Altona Badminton Centre,POINT (311572.33431332186 5809697.013373581),213021343,Altona North
Greenwich Reserve,POINT (314866.24956362194 5809076.567185245),213021344,Newport
K.C White Reserve,POINT (313254.8326610365 5808268.677084095),213021346,Williamstown
State Baseball Softball Centre (Melbourne Ballpark),POINT (304713.3376725684 5807314.487430051),213021341,Altona
Altona Sports Centre,POINT (306253.96085227013 5805587.034053784),213021342,Altona Meadows
Armstrong Reserve,POINT (314200.0421827045 5809061.632999271),213021344,Newport
Lifestyle Williamstown (Newport Park Leisure Centre),POINT (314808.8432052166 5809318.860124968),213021344,Newport
Maltese Bocce Recreation and Social Club,POINT (309694.70229389804 5810441.140190296),213021343,Altona North
Seabrook Community Centre Indoor Bowls,POINT (302924.15348388324 5804491.856945322),213021345,Seabrook
A.H Ford Reserve,POINT (307665.99100787647 5807377.54325743),213021341,Altona
A.W Bond Reserve,POINT (310380.40046282625 5811124.602461115),213021343,Altona North
Altona P-9 School,POINT (307942.7486386399 5807234.5768027175),213021341,Altona
Altona Sports Club Reserve,POINT (310856.66943789704 5807171.007861479),213021341,Altona
Bayview Reserve,POINT (313943.7458840994 5806894.836136287),213021346,Williamstown
Digman Reserve,POINT (314347.13580810616 5809892.203712756),213021344,Newport
Edwards Reserve,POINT (312564.7391945337 5811174.711966351),213021344,Newport
F Rush Reserve,POINT (308028.24311543256 5807990.249456849),213021341,Altona
Hatt Reserve,POINT (314930.0932440028 5806553.53269766),213021346,Williamstown
J.T Gray Reserve,POINT (312087.89348096354 5807991.020914961),213021346,Williamstown
Langshaw Reserve,POINT (310955.18090731563 5810183.788315957),213021343,Altona North
Robertson Reserve,POINT (315379.99191547354 5807117.678125166),213021346,Williamstown
Williamstown Croquet Club,POINT (314357.5220978522 5807653.18104599),213021346,Williamstown
Quarry Reserve,POINT (313055.6979649636 5808477.759103884),213021346,Williamstown
Truganina Club Grounds,POINT (299475.8491004574 5811435.042419976),213051586,Truganina - North
Bayfit Leisure Centre,POINT (311320.7558653818 5809813.035176776),213021343,Altona North
Beach House Health & Fitness Williamstown,POINT (311598.74804112193 5808231.064602845),213021346,Williamstown
Contours Altona North,POINT (311851.1034356189 5810646.35128983),213021343,Altona North
Curves Altona,POINT (310449.9397186609 5810328.140741097),213021343,Altona North
Fernwood Altona,POINT (310587.7242173236 5811119.946175288),213021343,Altona North
Inspiration Health and Fitness,POINT (311851.1034356189 5810646.35128983),213021343,Altona North
Laverton Swim and Fitness Centre,POINT (304218.2449225448 5807746.937839554),213051363,Laverton
Peyote Gym Williamstown,POINT (315158.17848256475 5807716.102714627),213021346,Williamstown
Run With Me Fitness Club Altona,POINT (309180.40076825494 5806900.488876421),213021341,Altona
Sweeney's Swim & Fitness Centre,POINT (309208.97322935704 5806890.6053853445),213021341,Altona
Westgate Health and Fitness Club Altona North,POINT (308618.973662277 5810479.10731636),213021343,Altona North
Altona Lakes Golf Course,POINT (311619.13757539075 5809529.770256628),213021343,Altona North
Kooringal Golf Club,POINT (307505.2638122513 5805921.160082365),213021341,Altona
Westgate Golf Course,POINT (313907.3735875825 5811313.473124565),213021344,Newport
Paisley Park Soccer Complex,POINT (311502.49711999664 5809551.853326395),213021343,Altona North
Altona Bowling Club (Altona Reserve),POINT (309351.1903452107 5807081.1055284105),213021341,Altona
Altona North Bowling Club,POINT (311663.38151453354 5809577.749172134),213021343,Altona North
Altona Sports Bowls Club,POINT (310745.4106870454 5807125.142245689),213021341,Altona
Laverton Bowling Club,POINT (304816.3911728274 5806801.190536591),213021342,Altona Meadows
Newport Bowling Club,POINT (313685.21491290367 5809390.261564859),213021344,Newport
Spotswood/Kingsville RSL Bowling Club,POINT (313424.77940215135 5811189.508089492),213021344,Newport
Williamstown Bowling Club,POINT (314869.4443025648 5807630.879778999),213021346,Williamstown
Westgate Indoor Sports,POINT (308618.973662277 5810479.10731636),213021343,Altona North
Cliffhanger Indoor Climbing Gym,POINT (308618.973662277 5810479.10731636),213021343,Altona North
Altona Yacht Club,POINT (310619.8481995532 5806848.561681812),213021341,Altona
Hobsons Bay Yacht Club,POINT (315465.78859916166 5807670.620122268),213021346,Williamstown
Royal Yacht Club of Victoria,POINT (315503.6969534841 5807554.4529160615),213021346,Williamstown
Williamstown Sailing Club,POINT (315486.3386721107 5807903.788337177),213021346,Williamstown
Duane Reserve,POINT (310124.7458695478 5811616.436776453),213021343,Altona North
H.C Kims Reserve,POINT (310201.56412037346 5807298.445294469),213021341,Altona
S.J Clement Reserve,POINT (311281.1571007653 5809022.611846158),213021343,Altona North
Altona Life Saving Club,POINT (309213.8406079567 5806314.032135408),213021341,Altona
Williamstown Life Saving Club,POINT (314321.89354131033 5806788.489448423),213021346,Williamstown
Altona Tenpin Bowling Complex,POINT (311851.1034356189 5810646.35128983),213021343,Altona North
Brooklyn Reserve,POINT (310429.6056827195 5811725.063661072),213021343,Altona North
Commonwealth Reserve,POINT (315569.46370011347 5807416.706779771),213021346,Williamstown
Dennis Reserve,POINT (314825.31066360103 5807726.031566914),213021346,Williamstown
Jackson Reserve,POINT (314167.01165179705 5808681.069651531),213021346,Williamstown
Contours Express Sunbury,POINT (299961.55134499003 5838477.25869042),210041240,Sunbury
Contours Greenvale,POINT (313082.36065441696 5832126.608902296),210051246,Greenvale - Bulla
CrossFit Merciless,POINT (310951.6221094682 5824142.327385523),210011228,Keilor
Curves Gladstone Park,POINT (313472.3148029294 5826584.331448266),210051245,Gladstone Park - Westmeadows
Fernwood Women's Health Club Tullamarine,POINT (313400.08350726956 5825146.51585044),210051250,Tullamarine
Focus Health and Fitness,POINT (313545.222072003 5825309.223129995),210051250,Tullamarine
Life Fitness Centre,POINT (318825.31300938316 5831921.299084587),210051544,Roxburgh Park (South) - Somerton
OnTarget Fitness,POINT (298987.6974458868 5839901.562282549),210041240,Sunbury
Powercore Fitness,POINT (318909.9866266864 5834737.642403068),210051443,Craigieburn - South
Re-creation Health Club Sunbury,POINT (299033.15355713974 5838026.003323328),210041540,Sunbury - South
Unique Female Fitness,POINT (318416.73477605253 5836464.026519461),210051443,Craigieburn - South
Boardman Reserve ,POINT (296531.1232194647 5838113.316212241),210041541,Sunbury - West
Laura Douglas Reserve ,POINT (318358.05644327344 5828931.3455317),210051243,Campbellfield - Coolaroo
Bradford Avenue Reserve ,POINT (313703.72398990055 5832055.802415211),210051246,Greenvale - Bulla
Broadmeadows Valley Park ,POINT (316125.3480192744 5829296.968879547),210051245,Gladstone Park - Westmeadows
Bulla Reserve ,POINT (306390.34449413914 5832705.1697173305),210051246,Greenvale - Bulla
D.S. Aitken Reserve ,POINT (317573.2348990638 5836851.598023202),210051441,Craigieburn - Central
Drummond Reserve ,POINT (313810.31301410915 5830391.666561017),210051246,Greenvale - Bulla
