Facility Name,geometry,SA2_CODE21,SA2_NAME21
Trevor Barker Beach Oval,POINT (324282.83038090414 5798412.354181964),208011173,Sandringham - Black Rock
Trevor Barker Oval,POINT (324286.1688440173 5798424.748950358),208011173,Sandringham - Black Rock
William Street Reserve,POINT (324558.74807490513 5801948.655196139),208011169,Brighton (Vic.)
Moorabbin West Reserve,POINT (326613.82443983573 5798951.9883365845),208011172,Hampton
Balcombe Park Reserve,POINT (327156.3701501721 5794942.3192182705),208011168,Beaumaris
Bay Road Reserve,POINT (326637.81657330145 5797164.011062271),208011173,Sandringham - Black Rock
Beaumaris Reserve,POINT (327456.87617218564 5794240.378221434),208011168,Beaumaris
Black Rock Primary School,POINT (326242.15040364384 5795865.924151438),208011173,Sandringham - Black Rock
Boss James Reserve,POINT (326144.820320648 5798713.566579803),208011172,Hampton
Brighton Cricket Oval,POINT (323585.3636998879 5800420.895829469),208011169,Brighton (Vic.)
Cheltenham Park,POINT (328597.3938883903 5796207.1593972845),208011171,Highett (West) - Cheltenham
Elsternwick Park,POINT (323575.8463084314 5804462.545665183),208011169,Brighton (Vic.)
R J Sillitoe Reserve,POINT (326090.7941586763 5799634.417533074),208011172,Hampton
R.G. Chisholm Reserve,POINT (325860.0633903503 5798221.366876019),208011173,Sandringham - Black Rock
Shipston Reserve,POINT (328603.4075548814 5795836.380990991),208011171,Highett (West) - Cheltenham
Whyte Street Reserve,POINT (324226.58752649225 5800950.586655292),208011169,Brighton (Vic.)
WL Simpson Reserve,POINT (326088.6287009808 5799214.83730936),208011172,Hampton
Brighton Croquet Club,POINT (324044.6366955221 5801892.1130765965),208011169,Brighton (Vic.)
Sandringham Tennis/Croquet Club,POINT (324323.10833791026 5798121.017337067),208011173,Sandringham - Black Rock
Warleigh Croquet Club,POINT (324544.0091131831 5802867.123572716),208011169,Brighton (Vic.)
Body Focus Personal Training,POINT (327452.19634925725 5793945.972767217),208011168,Beaumaris
Bustamove Health & Fitness,POINT (325852.1641962915 5795009.005008633),208011173,Sandringham - Black Rock
Contours Beaumaris,POINT (327444.9554551596 5793993.446278125),208011168,Beaumaris
Contours Brighton,POINT (323921.5368079657 5801673.537559398),208011169,Brighton (Vic.)
CoreWorks,POINT (328864.87816337927 5797478.339557806),208031188,Highett (East) - Cheltenham
Crossfit Sandringham,POINT (327897.56965191057 5797303.847020787),208011171,Highett (West) - Cheltenham
Curves Hampton,POINT (324532.7365219415 5799989.404799377),208011172,Hampton
F45,POINT (324042.4384618747 5802862.920657476),208011169,Brighton (Vic.)
Fernwood Southland,POINT (329190.815922308 5796649.316212822),208031188,Highett (East) - Cheltenham
Fit 4 Living,POINT (324338.825210362 5803727.446638268),208011169,Brighton (Vic.)
Fit To Go,POINT (329518.07622864627 5797921.604805929),208031188,Highett (East) - Cheltenham
Fitness First Bayside,POINT (327033.90225930884 5797384.215552346),208011171,Highett (West) - Cheltenham
Fitness First Brighton,POINT (325250.68379436794 5802410.509088503),208011170,Brighton East
One Fitness,POINT (324106.04279681225 5802821.654980747),208011169,Brighton (Vic.)
Brighton Golf Course,POINT (325723.05931660486 5800552.48322339),208011170,Brighton East
Brighton Public Golf Course,POINT (325412.46258692653 5800639.011508386),208011170,Brighton East
Cheltenham Golf Club,POINT (328443.37362172094 5795991.111991993),208011171,Highett (West) - Cheltenham
